# Метеостанция Роттердам / Зестинховен (аэропорт), Нидерланды, WMO_ID=6344, выборка с 19.02.2019 по 19.03.2019, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru 
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=6344&lang=ru
#
"Местное время в Роттердаме / Зестинховене (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"16.03.2019 06:00";"7.8";"755.8";"755.3";"-1.4";"97";"Ветер, дующий с юга";"3";"";"";"100%.";"Дождь незамерзающий умеренный. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"100-200";"";"";"5.0";"7.4";"2.0";"1";"";"";"";"";
"16.03.2019 05:00";"7.6";"756.4";"755.9";"-1.0";"97";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";"Дождь незамерзающий умеренный. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"200-300";"";"";"6.0";"7.1";"1.0";"1";"";"";"";"";
"16.03.2019 04:00";"8.1";"756.9";"756.5";"-0.6";"86";"Ветер, дующий с западо-юго-запада";"5";"8";"8";"100%.";"Ливневый дождь или дождь с перерывами слабый. ";"Дождь.";"Морось.";"";"";"";"100%.";"600-1000";"";"";"13.0";"5.9";"0.4";"1";"";"";"";"";
"16.03.2019 03:00";"8.7";"757.2";"756.7";"-0.1";"85";"Ветер, дующий с западо-юго-запада";"4";"5";"6";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"1000-1500";"";"";"27.0";"6.3";"Осадков нет";"1";"";"";"";"";
"16.03.2019 02:00";"8.7";"757.4";"757.1";"0.4";"81";"Ветер, дующий с западо-юго-запада";"3";"5";"8";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"1000-1500";"";"";"28.0";"5.6";"Осадков нет";"1";"";"";"";"";
"16.03.2019 01:00";"9.1";"757.5";"757.0";"0.9";"70";"Ветер, дующий с запада";"4";"6";"11";"100%.";"Состояние неба в общем не изменилось. ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"1000-1500";"";"";"40.0";"3.9";"Осадков нет";"6";"";"";"";"";
"16.03.2019 00:00";"8.6";"757.3";"756.9";"1.1";"73";"Ветер, дующий с западо-северо-запада";"5";"8";"11";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"2500 или более, или облаков нет.";"";"";"35.0";"4.0";"Осадков нет";"1";"";"";"";"";
"15.03.2019 23:00";"9.1";"757.0";"756.7";"1.3";"71";"Ветер, дующий с западо-северо-запада";"7";"11";"11";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"2500 или более, или облаков нет.";"";"";"40.0";"4.1";"Осадков нет";"1";"";"";"";"";
"15.03.2019 22:00";"8.9";"756.6";"756.2";"1.3";"89";"Ветер, дующий с западо-юго-запада";"4";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"2500 или более, или облаков нет.";"";"";"18.0";"7.1";"Осадков нет";"1";"";"";"";"";
"15.03.2019 21:00";"9.2";"756.2";"755.9";"1.8";"81";"Ветер, дующий с западо-юго-запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"1000-1500";"";"";"26.0";"6.0";"Осадков нет";"1";"";"";"";"";
"15.03.2019 20:00";"9.0";"755.7";"755.3";"2.1";"80";"Ветер, дующий с запада";"4";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"90  или более, но не 100%";"1000-1500";"";"";"26.0";"5.7";"Осадков нет";"1";"";"";"";"";
"15.03.2019 19:00";"9.5";"755.3";"754.8";"1.8";"87";"Ветер, дующий с запада";"4";"6";"22";"100%.";"Состояние неба в общем не изменилось. ";"Ливни или перемещающиеся осадки.";"Дождь.";"";"13.1";"";"";"1000-1500";"";"";"17.0";"7.4";"5.0";"12";"";"";"";"";
"15.03.2019 18:00";"9.8";"754.4";"754.0";"1.6";"96";"Ветер, дующий с запада";"5";"";"";"100%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"200-300";"";"";"10.0";"9.2";"Осадков нет";"1";"";"";"";"";
"15.03.2019 17:00";"10.0";"753.6";"753.1";"1.0";"97";"Ветер, дующий с запада";"6";"";"";"100%.";"Морось незамерзающая сильная. ";"Ливни или перемещающиеся осадки.";"Дождь.";"";"";"";"100%.";"200-300";"";"";"7.0";"9.6";"3.0";"1";"";"";"";"";
"15.03.2019 16:00";"10.5";"753.5";"753.1";"0.9";"94";"Ветер, дующий с запада";"10";"";"";"100%.";"Морось незамерзающая сильная. ";"Ливни или перемещающиеся осадки.";"Дождь.";"";"";"";"100%.";"200-300";"";"";"3.9";"9.6";"0.8";"1";"";"";"";"";
"15.03.2019 15:00";"11.7";"752.8";"752.5";"0.3";"85";"Ветер, дующий с западо-юго-запада";"13";"";"";"100%.";"Дождь (незамерзающий). ";"";"";"";"";"";"100%.";"300-600";"";"";"13.0";"9.3";"Осадков нет";"1";"";"";"";"";
"15.03.2019 14:00";"12.3";"752.6";"752.2";"0.3";"83";"Ветер, дующий с западо-юго-запада";"12";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"300-600";"";"";"18.0";"9.4";"Осадков нет";"1";"";"";"";"";
"15.03.2019 13:00";"12.6";"752.6";"752.2";"0.7";"81";"Ветер, дующий с западо-юго-запада";"11";"17";"21";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Морось.";"";"";"";"";"300-600";"";"";"19.0";"9.4";"1.0";"6";"";"";"";"";
"15.03.2019 12:00";"12.0";"752.5";"752.2";"0.9";"83";"Ветер, дующий с западо-юго-запада";"13";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Морось.";"";"";"";"100%.";"300-600";"";"";"16.0";"9.2";"Осадков нет";"1";"";"";"";"";
"15.03.2019 11:00";"11.5";"752.3";"751.9";"0.7";"85";"Ветер, дующий с западо-юго-запада";"12";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Морось.";"";"";"";"100%.";"300-600";"";"";"14.0";"9.1";"Осадков нет";"1";"";"";"";"";
"15.03.2019 10:00";"11.1";"751.9";"751.6";"-0.3";"88";"Ветер, дующий с западо-юго-запада";"11";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Морось.";"";"";"";"100%.";"300-600";"";"";"15.0";"9.2";"Осадков нет";"1";"";"";"";"";
"15.03.2019 09:00";"10.8";"751.6";"751.2";"-1.3";"92";"Ветер, дующий с западо-юго-запада";"12";"";"";"100%.";"Дождь (незамерзающий). ";"Дождь.";"Морось.";"6.8";"";"";"100%.";"200-300";"";"";"19.0";"9.6";"0.1";"1";"";"";"";"";
"15.03.2019 08:00";"9.0";"751.6";"751.2";"-2.0";"97";"Ветер, дующий с юго-запада";"7";"";"";"100%.";"Морось незамерзающая сильная. ";"Дождь.";"Морось.";"";"";"";"100%.";"100-200";"";"";"9.0";"8.6";"0.9";"1";"";"";"";"";
"15.03.2019 07:00";"6.8";"752.2";"751.7";"-1.7";"97";"Ветер, дующий с юга";"5";"8";"12";"100%.";"Дождь незамерзающий слабый. ";"Ливни или перемещающиеся осадки.";"Морось.";"6.8";"";"";"";"100-200";"";"";"5.0";"6.4";"1.0";"12";"";"";"";"";
"15.03.2019 06:00";"6.9";"752.9";"752.4";"-1.5";"92";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Морось незамерзающая умеренная. ";"Ливни или перемещающиеся осадки.";"Дождь.";"";"";"";"100%.";"300-600";"";"";"7.0";"5.7";"0.4";"1";"";"";"";"";
"15.03.2019 05:00";"7.7";"753.6";"753.1";"-1.4";"82";"Ветер, дующий с запада";"5";"";"";"100%.";"Морось и дождь слабые. ";"Морось.";"";"";"";"";"100%.";"1000-1500";"";"";"16.0";"4.7";"Осадков нет";"1";"";"";"";"";
"15.03.2019 04:00";"8.9";"753.9";"753.4";"-1.2";"76";"Ветер, дующий с западо-юго-запада";"6";"11";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"19.0";"4.8";"Осадков нет";"1";"";"";"";"";
"15.03.2019 03:00";"8.7";"754.4";"754.0";"-0.5";"77";"Ветер, дующий с западо-юго-запада";"6";"9";"10";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"2500 или более, или облаков нет.";"";"";"19.0";"4.9";"Осадков нет";"1";"";"";"";"";
"15.03.2019 02:00";"8.4";"755.0";"754.6";"0.2";"79";"Ветер, дующий с западо-юго-запада";"6";"9";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"2500 или более, или облаков нет.";"";"";"22.0";"5.0";"Осадков нет";"1";"";"";"";"";
"15.03.2019 01:00";"7.9";"755.1";"754.6";"0.8";"75";"Ветер, дующий с запада";"6";"10";"";"100%.";"Состояние неба в общем не изменилось. ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"2500 или более, или облаков нет.";"";"";"26.0";"3.6";"Осадков нет";"6";"";"";"";"";
"15.03.2019 00:00";"8.2";"754.9";"754.5";"1.1";"74";"Ветер, дующий с запада";"6";"9";"10";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"26.0";"3.7";"Осадков нет";"1";"";"";"";"";
"14.03.2019 23:00";"8.6";"754.8";"754.4";"1.7";"72";"Ветер, дующий с запада";"7";"10";"10";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"60%.";"1000-1500";"";"";"27.0";"3.7";"Осадков нет";"1";"";"";"";"";
"14.03.2019 22:00";"8.7";"754.3";"753.9";"1.9";"72";"Ветер, дующий с запада";"6";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"1500-2000";"";"";"23.0";"3.9";"Осадков нет";"1";"";"";"";"";
"14.03.2019 21:00";"8.9";"753.8";"753.4";"2.7";"71";"Ветер, дующий с запада";"6";"";"";"100%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"100%.";"1500-2000";"";"";"22.0";"3.9";"Осадков нет";"1";"";"";"";"";
"14.03.2019 20:00";"8.6";"753.1";"752.6";"3.1";"74";"Ветер, дующий с западо-северо-запада";"7";"11";"13";"90  или более, но не 100%";"Дождь (незамерзающий). ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"1500-2000";"";"";"18.0";"4.1";"";"";"";"";"";"";
"14.03.2019 19:00";"9.0";"752.4";"751.9";"3.2";"75";"Ветер, дующий с западо-северо-запада";"9";"13";"20";"100%.";"Ливневый дождь или дождь с перерывами слабый. ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"";"12.4";"";"";"1000-1500";"";"";"12.0";"4.8";"8.0";"12";"";"";"";"";
"14.03.2019 18:00";"9.4";"751.1";"750.8";"3.0";"74";"Ветер, дующий с западо-северо-запада";"10";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"2000-2500";"";"";"17.0";"4.9";"Осадков нет";"1";"";"";"";"";
"14.03.2019 17:00";"10.2";"750.0";"";"2.6";"72";"Ветер, дующий с западо-северо-запада";"10";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"1000-1500";"";"";"20.0";"5.3";"Осадков нет";"1";"";"";"";"";
"14.03.2019 16:00";"10.4";"749.2";"748.9";"2.4";"74";"Ветер, дующий с западо-северо-запада";"9";"";"";"100%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"100%.";"1000-1500";"";"";"19.0";"5.9";"Осадков нет";"1";"";"";"";"";
"14.03.2019 15:00";"11.0";"748.1";"747.8";"1.3";"76";"Ветер, дующий с запада";"10";"";"";"90  или более, но не 100%";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"90  или более, но не 100%";"1000-1500";"";"";"24.0";"6.9";"Осадков нет";"1";"";"";"";"";
"14.03.2019 14:00";"11.6";"747.4";"747.1";"-0.1";"76";"Ветер, дующий с запада";"11";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"21.0";"7.5";"Осадков нет";"1";"";"";"";"";
"14.03.2019 13:00";"10.6";"746.8";"746.5";"-2.1";"84";"Ветер, дующий с запада";"13";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Дождь.";"";"";"";"100%.";"300-600";"";"";"22.0";"8.0";"8.0";"6";"";"";"";"";
"14.03.2019 12:00";"10.5";"746.8";"746.4";"-3.7";"86";"Ветер, дующий с западо-юго-запада";"11";"";"";"100%.";"Дождь (незамерзающий). ";"Дождь.";"Дождь.";"";"";"";"100%.";"300-600";"";"";"17.0";"8.3";"0.5";"1";"";"";"";"";
"14.03.2019 11:00";"8.5";"747.5";"747.1";"-4.2";"93";"Ветер, дующий с западо-юго-запада";"11";"16";"19";"100%.";"Дождь незамерзающий умеренный. ";"Дождь.";"Дождь.";"";"";"";"";"300-600";"";"";"8.0";"7.4";"";"";"";"";"";"";
"14.03.2019 10:00";"8.0";"748.9";"748.5";"-3.9";"92";"Ветер, дующий с юго-запада";"10";"";"";"100%.";"Дождь незамерзающий умеренный. ";"Дождь.";"Дождь.";"";"";"";"100%.";"200-300";"";"";"10.0";"6.8";"2.0";"1";"";"";"";"";
"14.03.2019 09:00";"7.3";"750.5";"750.0";"-3.6";"92";"Ветер, дующий с западо-юго-запада";"10";"";"";"100%.";"Дождь незамерзающий умеренный. ";"Дождь.";"Дождь.";"6.6";"";"";"100%.";"600-1000";"";"";"7.0";"6.0";"2.0";"1";"";"";"";"";
